domanda,risposta,chi_interpellare
BP non si apre o è lento,Controllare connessione,servicedesk@audika.it
Non viene trasferito automaticamente l’esame audiometrico,Probabile assenza collegamento Noah–BP,servicedesk@audika.it
Non riesco a salvare un'anagrafica,Manca dato obbligatorio o CF errato,
Ho emesso una fattura su cliente errato,Far slegare pagamento da DGS e fare nota di credito,Nicole Toscano; Elisa Giuntini
Mi sono dimenticato un accessorio in fattura,Far slegare pagamento da DGS e fare nota di credito,Nicole Toscano; Elisa Giuntini
Devo fare storno fattura d’acconto,Farsi slegare pagamento da DGS e fare nota di credito,Nicole Toscano; Elisa Giuntini
Devo fare storno fattura vendita,Slegare pagamento (autorizzazione RSM) e fare nota di credito,Nicole Toscano; Elisa Giuntini
Storno fattura ASL errata,Nota di credito e nuova fattura con note corrette,
Doppia matricola caricata,Richiedere cancellazione,servicedesk@audika.it
Prodotto ordinato sbagliato,Cancellare ordine o chiedere cancellazione,servicedesk@audika.it
Modalità incasso sbagliata,Segnalare a DGS modalità corretta,Nicole Toscano; Elisa Giuntini
Incasso sotto centro errato,Segnalare centro corretto a DGS,Nicole Toscano; Elisa Giuntini
Versamento sbagliato,Segnalare versamento corretto,Nicole Toscano; Elisa Giuntini
ATM non accetta versamento,Segnalare problema a DGS,Nicole Toscano; Elisa Giuntini
Protesi rientrata in garanzia,Richiedere cambio stato riparazione,servicedesk@audika.it
